ID,gender,strain, the number of alive littermates,birth parity,the year-season at birth,lg,birth weight ,AGE,BF
17741,2,31,2,1,114,38,1.6,153.1343878,13.75130305
17706,2,1,2,1,414,33,1,166.8380769,11.65878136
3380,2,31,2,1,114,38,1.3,160.4376782,12.11948256
3366,2,31,2,1,114,34,1.3,149.8955825,6.423906083
17652,2,18,1,1,414,23,1.5,140.5764173,19.33087071
3323,2,31,1,1,414,40,1.7,143.5209322,8.84519774
3333,2,18,1,1,414,96,1.2,146.9468182,13.46925653
3346,2,18,1,1,414,96,1.4,148.8085185,17.23978202
17684,2,31,1,1,414,40,1.6,163.3384694,10.18615041
3322,2,1,2,1,414,47,1.5,157.6625728,14.98911419
3296,2,31,1,1,414,41,1.1,174.0181746,11.05560901
3297,2,18,1,1,414,23,1.6,145.2455785,14.43091076
3347,2,18,1,1,414,96,1.5,146.9468182,14.66041527
3340,2,18,1,1,414,96,1.4,149.7654673,17.10587427
3319,2,31,1,1,414,40,1.9,144.3508974,11.9445745
3378,2,18,2,1,114,42,1.3,146.9721429,15.87472912
17683,2,1,2,1,414,47,1.6,186.1528049,10.17322835
3367,2,31,2,1,114,34,1.1,164.8427778,11.00563154
3364,2,31,2,1,114,97,1.7,153,11
3372,2,31,2,1,114,97,1.7,146.9668868,11.56590437
3343,2,18,2,1,414,50,1.2,154.8316667,12.96310122
3327,2,18,2,1,414,37,1.3,146.0444643,13.87826087
3339,2,18,2,1,414,50,1.2,155.905099,16.15240855
3351,2,1,2,1,414,33,1.3,145.1516071,15.50039526
3384,2,18,2,1,114,42,1.2,147.5500575,14.13183415
17676,1,1,2,1,414,35,1.7,158.6334466,12.84781217
17704,1,18,2,1,414,50,1.5,157.3327533,11.33106102
17740,1,18,2,1,114,42,1.8,135.8938136,11.59322034
17682,1,31,1,1,414,40,1.7,152.5122222,10.2506812
3401,2,1,1,1,114,58,1.3,158.6524179,11.61253471
3409,2,31,1,1,114,98,1.2,155.1322489,14.29738717
17793,2,31,1,1,114,99,1.2,154.8427778,11.00563154
17783,2,31,1,1,114,98,1.2,154.4247614,15.82809917
17792,2,31,1,1,114,99,1.6,155.6927156,11.41616366
3396,2,18,1,1,114,59,1.7,146.4005212,21.49299363
3430,2,1,1,1,114,100,1.3,140.7170937,18.44942592
3413,2,31,1,1,114,101,1.4,138.207365,10.8653201
3389,2,18,1,1,114,102,1.6,146.4006597,14.39494914
3397,2,18,1,1,114,45,1.7,144.0445947,19.60713173
3398,2,31,1,1,114,103,2.1,142.0613527,13.94258536
3420,2,18,1,1,114,51,1.5,145.1852429,16.78403548
3407,2,31,1,1,114,98,1.4,145.2096429,13.99767779
3427,2,1,1,1,114,100,1.7,139.054569,21.78203335
17804,2,31,1,1,114,104,2,145.6486549,14.0608137
3403,2,1,2,1,114,54,1.1,152.5644253,13.32349249
3393,2,18,1,1,114,102,1.1,141.1477899,18.35567423
3392,2,1,1,1,114,57,1.3,154.5690848,13.91972866
3405,2,1,2,1,114,54,1.3,160.8125225,12.25407166
17808,2,31,1,1,114,105,1.8,138.3678112,9.434482759
17800,2,31,2,1,114,60,1.7,148.5586285,16.83857311
3391,2,18,1,1,114,102,1.2,151.4200201,14.45282465
3408,2,31,1,1,114,98,1.7,146.5004271,18.28353222
17807,2,31,1,1,114,105,1.9,137.7260668,10.67074904
3386,2,18,1,1,114,102,1.5,142.1888095,17.61888065
3406,2,1,1,1,114,56,1.7,131.6373154,15.99402985
3399,2,18,1,1,114,45,1.5,150.416004,21.67923698
3400,2,1,1,1,114,58,1.6,148.0849703,15.27438825
3426,2,31,2,1,114,60,2.1,138.7831641,10.47038627
3429,2,1,1,1,114,100,1.4,139.7861747,16.10865089
17763,1,18,1,1,114,59,2,132.4490532,20.90351201
17774,1,1,2,1,114,54,1.9,133.6124249,12.7740829
17773,1,1,1,1,114,56,1.8,129.8181199,13.3422737
17755,1,1,1,1,114,57,1.6,133.3518246,13.24347156
17754,1,1,1,1,114,57,1.5,138.8862644,15.36125347
17762,1,18,1,1,114,45,1.8,127.3407813,18.47357392
17761,1,31,1,1,114,103,2,135.5587177,12.02063037
17790,1,18,1,1,114,106,1.4,134.0924483,16.76859367
17799,1,1,1,1,114,100,1.6,131.1685842,14.4666226
17760,1,18,1,1,114,59,1.8,143.6779108,15.38616526
17789,1,18,1,1,114,51,1.8,137.1073792,14.96103896
17798,1,1,1,1,114,100,1.8,134.6472761,12.38518519
17753,1,18,1,1,114,102,1.8,142.2765949,15.32566222
3444,2,1,1,1,114,107,1.8,139.4968713,14.40910048
3436,2,31,1,1,114,108,1.2,144.8427778,14.41737731
