ID,parity, year-season at birth,TNB,NBA, litter weight at birth
3783,1,215,19,17,19
3757,1,215,15,13,15.9
3323,1,215,17,15,18.4
3781,1,215,14,14,17.2
3786,1,215,12,12,8.3
3098,2,215,14,12,18.3
3646,1,215,11,11,13.2
3873,1,215,6,5,9.6
3223,2,215,14,9,16.8
3876,1,215,19,17,22.8
3925,1,215,14,14,17.6
3814,1,215,10,10,15
3811,1,215,12,11,17.1
3475,1,215,13,11,19.5
3910,1,215,15,14,20.2
3184,2,215,16,14,19
3450,2,215,14,13,17.4
3971,1,215,14,14,15.5
3834,1,215,15,14,18
3180,2,215,19,15,19.7
3986,1,215,14,13,17.2
3880,1,215,15,15,17.2
3585,1,215,15,15,21.6
3926,1,215,7,7,13
3756,1,215,17,17,20.8
3395,2,215,15,11,16.7
3399,2,215,3,3,6.1
3792,1,215,14,12,15.5
3797,1,215,18,14,17.4
3904,1,215,6,4,5.6
3647,1,215,5,4,8.1
3902,1,215,13,9,12.3
3252,2,215,14,14,23.2
3850,1,215,9,6,9.5
3891,1,215,5,3,5.7
4287,1,215,16,9,12.1
3957,1,215,14,13,17.5
3853,1,215,8,6,9.3
3877,1,215,16,15,16.6
3852,1,215,12,12,12.9
3279,2,215,17,14,18.7
3103,2,215,16,14,21.9
3689,1,215,13,13,20.9
3674,1,215,11,10,15.9
3660,1,215,11,11,18.6
3079,1,215,13,9,12.3
4174,1,215,14,13,17
3930,1,215,12,12,19.5
4256,1,215,10,10,14.1
3829,1,215,13,10,17.1
3091,2,215,14,12,17.5
3260,2,215,17,16,24.6
3988,1,215,15,13,14.3
3819,1,215,14,14,19.8
3690,1,215,4,4,8.2
3815,1,215,6,6,11.1
4154,1,215,13,11,13.8
4167,1,215,11,7,11.9
4083,1,215,13,12,14.9
4066,1,215,14,14,19.1
4065,1,215,9,9,9
3959,1,215,15,12,15.2
3313,1,415,18,14,17.1
3726,1,215,8,8,15.2
3289,2,215,18,16,22.3
3254,2,215,8,8,14.4
3662,1,215,15,15,18.6
3498,1,215,11,11,20.2
4056,1,215,15,14,18.9
4309,1,215,3,1,2.1
3851,1,215,13,13,17.2
3594,1,215,19,16,20.8
4159,1,215,13,11,15.1
3903,1,215,5,5,8.6
3824,1,215,6,4,7.6
3837,1,215,12,12,19.7
3885,1,215,12,12,17
4105,1,215,14,13,18
3320,2,215,8,8,13.2
4053,1,215,16,12,20.8
3909,1,215,19,16,20.7
4000,1,215,16,15,21.2
3390,2,215,12,12,19.7
3989,1,215,13,13,15.6
4196,1,215,14,10,16
3878,1,215,13,12,17.9
3788,1,215,9,9,13.9
3435,2,215,11,10,18.4
3369,1,215,14,10,14.9
4184,1,215,11,11,15.7
3629,1,115,10,10,10.1
3201,2,215,13,13,23.2
3408,2,215,11,10,16
3908,1,215,18,12,14.1
3896,1,215,15,13,13.7
3301,2,215,16,15,18.2
4254,1,215,8,8,9.9
4060,1,215,14,13,16
4061,1,215,9,9,15.3
4057,1,215,13,12,15.5
4111,1,215,11,10,15.1
4191,1,215,15,14,17.3
3732,1,215,14,14,17.3
4214,1,215,14,13,16.8
